"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"18094","Marta Capurso","F","25","155","55","Italy","ITA","2006 Winter","2006","Winter","Torino","Short Track Speed Skating","Short Track Speed Skating Women's 3,000 metres Relay","Bronze"
"9225","Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","F","25","155","NA","United States","USA","1928 Summer","1928","Summer","Amsterdam","Diving","Diving Women's Platform","Gold"
"28058","Giuseppe Di Capua","M","26","155","53","Italy","ITA","1984 Summer","1984","Summer","Los Angeles","Rowing","Rowing Men's Coxed Pairs","Gold"
"10048","Meaghan Benfeito","F","27","155","48","Canada","CAN","2016 Summer","2016","Summer","Rio de Janeiro","Diving","Diving Women's Platform","Bronze"
"10048","Meaghan Benfeito","F","27","155","48","Canada","CAN","2016 Summer","2016","Summer","Rio de Janeiro","Diving","Diving Women's Synchronized Platform","Bronze"
"5233","Virginie Arnold","F","28","155","50","France","FRA","2008 Summer","2008","Summer","Beijing","Archery","Archery Women's Team","Bronze"
"21820","Mary Ellen Clark","F","29","155","54","United States","USA","1992 Summer","1992","Summer","Barcelona","Diving","Diving Women's Platform","Bronze"
"28058","Giuseppe Di Capua","M","30","155","53","Italy","ITA","1988 Summer","1988","Summer","Seoul","Rowing","Rowing Men's Coxed Pairs","Gold"
"15605","Elizabeth ""Lisa"" Brown-Miller","F","31","155","57","United States","USA","1998 Winter","1998","Winter","Nagano","Ice Hockey","Ice Hockey Women's Ice Hockey","Gold"
"21820","Mary Ellen Clark","F","33","155","54","United States","USA","1996 Summer","1996","Summer","Atlanta","Diving","Diving Women's Platform","Bronze"
"28058","Giuseppe Di Capua","M","34","155","53","Italy","ITA","1992 Summer","1992","Summer","Barcelona","Rowing","Rowing Men's Coxed Pairs","Silver"
"26874","Danile Debernard","F","17","156","48","France","FRA","1972 Winter","1972","Winter","Sapporo","Alpine Skiing","Alpine Skiing Women's Slalom","Silver"
"22434","Jeanne Ellen Collier (-Sitzberger)","F","18","156","48","United States","USA","1964 Summer","1964","Summer","Tokyo","Diving","Diving Women's Springboard","Silver"
"1485","Yutaka Aihara","M","21","156","55","Japan","JPN","1992 Summer","1992","Summer","Barcelona","Gymnastics","Gymnastics Men's Team All-Around","Bronze"
"26874","Danile Debernard","F","21","156","48","France","FRA","1976 Winter","1976","Winter","Innsbruck","Alpine Skiing","Alpine Skiing Women's Giant Slalom","Bronze"
"33227","Paola Milagros Espinosa Snchez","F","22","156","48","Mexico","MEX","2008 Summer","2008","Summer","Beijing","Diving","Diving Women's Synchronized Platform","Bronze"
"16298","Galina Petrovna Bukharina","F","23","156","51","Soviet Union","URS","1968 Summer","1968","Summer","Mexico City","Athletics","Athletics Women's 4 x 100 metres Relay","Bronze"
"30884","Hasanboy Dusmatov","M","23","156","49","Uzbekistan","UZB","2016 Summer","2016","Summer","Rio de Janeiro","Boxing","Boxing Men's Light-Flyweight","Gold"
"33227","Paola Milagros Espinosa Snchez","F","25","156","48","Mexico","MEX","2012 Summer","2012","Summer","London","Diving","Diving Women's Synchronized Platform","Silver"
